acceleration axis x,acceleration axis y,acceleration axis z,timestamp
384,-192,768,1683568946
384,-192,960,1683568947
384,-192,768,1683568948
384,-192,768,1683568949
384,-192,768,1683568950
384,-192,768,1683568951
384,-192,768,1683568952
384,-192,768,1683568953
384,-192,768,1683568954
384,-192,768,1683568955
384,-192,960,1683568956
384,-192,768,1683568957
384,-192,768,1683568959
384,-192,768,1683568960
384,-192,768,1683568961
384,-192,768,1683568962
576,-192,768,1683568963
384,-192,768,1683568965
384,-192,768,1683568966
384,-192,768,1683568967
384,-192,768,1683568968
384,-192,768,1683568969
384,-192,768,1683568970
384,-192,768,1683568971
384,-192,768,1683568972
384,-192,768,1683568973
384,-192,768,1683568974
384,-192,768,1683568976
576,-384,768,1683568977
384,-192,768,1683568978
576,-192,768,1683568979
576,-192,768,1683568980
576,-192,768,1683568982
576,-192,768,1683568984
576,-192,768,1683568985
576,-192,768,1683568986
576,-192,576,1683568987
768,-192,576,1683568988
576,-192,768,1683568989
576,-192,768,1683568990
576,-192,768,1683568991
576,-192,768,1683568992
576,-192,768,1683568993
576,-192,768,1683568994
576,-192,768,1683568995
576,-192,576,1683568996
576,-192,768,1683568997
576,-192,576,1683568998
576,-192,768,1683568999
576,-192,768,1683569000
576,-192,768,1683569001
576,-192,768,1683569002
576,-192,768,1683569003
576,-192,768,1683569004
576,-192,576,1683569005
576,-192,768,1683569006
576,-192,768,1683569007
576,-192,768,1683569008
576,-192,768,1683569009
576,-192,576,1683569010
768,-192,768,1683569011
576,-192,768,1683569012
576,-192,768,1683569013
768,-192,576,1683569014
576,-192,768,1683569015
576,-192,768,1683569016
576,-192,576,1683569017
576,-192,576,1683569018
576,-192,768,1683569019
576,-192,768,1683569020
576,-192,576,1683569021
576,-192,768,1683569022
576,-192,768,1683569023
576,-192,768,1683569024
576,-192,768,1683569025
576,-192,768,1683569026
576,-192,768,1683569027
576,-192,768,1683569028
576,-192,576,1683569029
576,-192,768,1683569030
768,-192,768,1683569031
768,-192,768,1683569032
576,-192,768,1683569033
576,0,768,1683569034
576,-192,576,1683569035
576,0,768,1683569036
576,0,768,1683569037
0,576,768,1683569038
0,576,768,1683569039
192,576,576,1683569041
192,576,576,1683569042
0,576,768,1683569043
0,576,768,1683569044
0,576,576,1683569045
0,576,576,1683569046
192,-192,1152,1683569047
-2304,-960,960,1683569048
-192,192,0,1683569049
192,-192,960,1683569050
192,-192,768,1683569051
192,-192,960,1683569052
192,-192,960,1683569053
192,-192,960,1683569054
192,-192,960,1683569055
192,-384,960,1683569056
192,-192,768,1683569057
192,-192,960,1683569058
192,-192,768,1683569059
192,-192,960,1683569060
192,-192,960,1683569061
192,-192,768,1683569062
192,-192,960,1683569063
192,-192,960,1683569064
192,-192,960,1683569065
192,-192,960,1683569066
192,-192,960,1683569067
192,-192,768,1683569068
192,-192,960,1683569069
192,-192,960,1683569070
192,-192,960,1683569071
192,-384,960,1683569072
192,-192,768,1683569073
192,-192,960,1683569074
192,-192,960,1683569075
192,-192,960,1683569076
192,-192,960,1683569077
192,-192,960,1683569078
192,-192,960,1683569079
192,-192,960,1683569080
192,-192,960,1683569081
192,-192,768,1683569082
192,-192,960,1683569083
192,-192,960,1683569085
192,-192,768,1683569087
192,-192,960,1683569088
192,-192,960,1683569089
192,-192,960,1683569090
192,-192,960,1683569091
192,-192,960,1683569092
192,-192,960,1683569093
192,-192,768,1683569094
192,-192,768,1683569095
192,-192,960,1683569096
192,-192,768,1683569097
192,-192,768,1683569098
192,-384,960,1683569099
192,-192,960,1683569100
192,-192,960,1683569101
192,-192,960,1683569102
192,-192,960,1683569103
192,-192,960,1683569104
